user_id,variant,score
1448,C (Structured CoT),3
1115,A (Current),2
1065,A (Current),3
2288,C (Structured CoT),3
1538,C (Structured CoT),3
669,A (Current),3
1584,C (Structured CoT),4
2405,C (Structured CoT),3
498,A (Current),2
2481,C (Structured CoT),4
472,A (Current),4
247,A (Current),3
924,A (Current),3
1132,A (Current),1
671,A (Current),3
917,A (Current),3
1415,C (Structured CoT),5
1607,C (Structured CoT),4
403,A (Current),5
1104,A (Current),3
2073,C (Structured CoT),3
720,A (Current),2
2012,C (Structured CoT),4
2437,C (Structured CoT),5
197,A (Current),2
892,A (Current),3
1265,C (Structured CoT),2
1035,A (Current),3
1326,C (Structured CoT),4
510,A (Current),1
1428,C (Structured CoT),4
195,A (Current),2
1180,A (Current),4
2033,C (Structured CoT),4
933,A (Current),4
1125,A (Current),3
1823,C (Structured CoT),5
1367,C (Structured CoT),3
1993,C (Structured CoT),5
1259,C (Structured CoT),5
2275,C (Structured CoT),4
1274,C (Structured CoT),4
1937,C (Structured CoT),4
1267,C (Structured CoT),3
773,A (Current),2
1609,C (Structured CoT),3
1312,C (Structured CoT),4
135,A (Current),5
1856,C (Structured CoT),5
2400,C (Structured CoT),5
421,A (Current),4
1756,C (Structured CoT),4
708,A (Current),4
94,A (Current),1
57,A (Current),4
219,A (Current),2
1037,A (Current),3
1294,C (Structured CoT),4
1953,C (Structured CoT),4
1450,C (Structured CoT),2
2360,C (Structured CoT),5
1466,C (Structured CoT),4
299,A (Current),3
2178,C (Structured CoT),3
179,A (Current),3
1188,A (Current),4
1473,C (Structured CoT),3
189,A (Current),3
573,A (Current),1
434,A (Current),5
519,A (Current),2
2347,C (Structured CoT),3
2272,C (Structured CoT),5
1085,A (Current),4
1289,C (Structured CoT),4
1124,A (Current),2
1342,C (Structured CoT),4
2257,C (Structured CoT),4
1491,C (Structured CoT),4
44,A (Current),4
1879,C (Structured CoT),2
451,A (Current),5
2046,C (Structured CoT),2
45,A (Current),3
1284,C (Structured CoT),4
1968,C (Structured CoT),5
2091,C (Structured CoT),3
255,A (Current),1
1946,C (Structured CoT),5
1875,C (Structured CoT),5
1863,C (Structured CoT),3
565,A (Current),2
213,A (Current),3
867,A (Current),2
743,A (Current),3
1252,C (Structured CoT),3
1048,A (Current),3
1737,C (Structured CoT),5
1018,A (Current),2
171,A (Current),4
2097,C (Structured CoT),3
2488,C (Structured CoT),5
2218,C (Structured CoT),4
1798,C (Structured CoT),5
545,A (Current),4
1222,C (Structured CoT),5
464,A (Current),3
989,A (Current),1
1322,C (Structured CoT),4
603,A (Current),3
1337,C (Structured CoT),4
2340,C (Structured CoT),4
1261,C (Structured CoT),4
2115,C (Structured CoT),5
808,A (Current),3
887,A (Current),5
1583,C (Structured CoT),4
1615,C (Structured CoT),4
1838,C (Structured CoT),4
1874,C (Structured CoT),3
283,A (Current),3
211,A (Current),3
112,A (Current),3
1921,C (Structured CoT),4
2166,C (Structured CoT),5
458,A (Current),4
820,A (Current),4
2185,C (Structured CoT),3
1656,C (Structured CoT),5
253,A (Current),2
252,A (Current),5
1540,C (Structured CoT),4
2130,C (Structured CoT),5
1927,C (Structured CoT),3
1019,A (Current),2
423,A (Current),4
1176,A (Current),3
621,A (Current),4
174,A (Current),2
487,A (Current),4
1986,C (Structured CoT),3
1081,A (Current),2
1118,A (Current),3
1358,C (Structured CoT),2
1042,A (Current),4
1091,A (Current),3
1356,C (Structured CoT),5
212,A (Current),3
614,A (Current),4
2150,C (Structured CoT),5
465,A (Current),5
1468,C (Structured CoT),4
555,A (Current),3
908,A (Current),4
994,A (Current),3
1969,C (Structured CoT),5
1789,C (Structured CoT),5
1599,C (Structured CoT),4
97,A (Current),2
1965,C (Structured CoT),5
1365,C (Structured CoT),5
1925,C (Structured CoT),4
612,A (Current),2
446,A (Current),2
238,A (Current),2
2311,C (Structured CoT),4
874,A (Current),3
2498,C (Structured CoT),3
2055,C (Structured CoT),3
1674,C (Structured CoT),3
2123,C (Structured CoT),5
840,A (Current),4
582,A (Current),5
1282,C (Structured CoT),4
980,A (Current),1
791,A (Current),1
842,A (Current),3
483,A (Current),3
1911,C (Structured CoT),5
622,A (Current),3
1503,C (Structured CoT),5
333,A (Current),2
479,A (Current),2
1495,C (Structured CoT),5
508,A (Current),3
1451,C (Structured CoT),5
2424,C (Structured CoT),4
644,A (Current),5
481,A (Current),1
1456,C (Structured CoT),3
2395,C (Structured CoT),4
1012,A (Current),3
765,A (Current),2
1290,C (Structured CoT),4
1224,C (Structured CoT),4
1334,C (Structured CoT),5
618,A (Current),5
522,A (Current),3
583,A (Current),4
1059,A (Current),3
1407,C (Structured CoT),5
297,A (Current),4
2443,C (Structured CoT),5
1062,A (Current),3
858,A (Current),1
1693,C (Structured CoT),3
408,A (Current),4
1079,A (Current),1
1084,A (Current),1
169,A (Current),3
2181,C (Structured CoT),3
240,A (Current),3
2306,C (Structured CoT),3
1998,C (Structured CoT),5
1902,C (Structured CoT),4
1051,A (Current),4
1913,C (Structured CoT),5
1868,C (Structured CoT),3
2096,C (Structured CoT),4
523,A (Current),1
1738,C (Structured CoT),4
2473,C (Structured CoT),5
1848,C (Structured CoT),4
2369,C (Structured CoT),5
2250,C (Structured CoT),5
1884,C (Structured CoT),3
1512,C (Structured CoT),4
1460,C (Structured CoT),3
1939,C (Structured CoT),4
1724,C (Structured CoT),4
2026,C (Structured CoT),4
1608,C (Structured CoT),3
1978,C (Structured CoT),4
509,A (Current),4
633,A (Current),4
916,A (Current),3
260,A (Current),2
1396,C (Structured CoT),5
2296,C (Structured CoT),5
2322,C (Structured CoT),1
803,A (Current),3
1936,C (Structured CoT),5
1197,A (Current),4
1945,C (Structured CoT),2
757,A (Current),2
802,A (Current),3
234,A (Current),3
1515,C (Structured CoT),4
941,A (Current),3
999,A (Current),4
1103,A (Current),1
1464,C (Structured CoT),5
1877,C (Structured CoT),3
1226,C (Structured CoT),4
325,A (Current),3
1764,C (Structured CoT),4
1954,C (Structured CoT),4
1378,C (Structured CoT),5
101,A (Current),3
2482,C (Structured CoT),5
1341,C (Structured CoT),4
388,A (Current),2
1955,C (Structured CoT),5
180,A (Current),3
1695,C (Structured CoT),5
1663,C (Structured CoT),4
1305,C (Structured CoT),4
928,A (Current),3
1431,C (Structured CoT),4
2269,C (Structured CoT),3
142,A (Current),2
369,A (Current),2
2446,C (Structured CoT),5
1086,A (Current),1
368,A (Current),4
1675,C (Structured CoT),4
1045,A (Current),1
319,A (Current),2
1539,C (Structured CoT),3
248,A (Current),2
322,A (Current),4
1834,C (Structured CoT),4
1840,C (Structured CoT),4
1000,A (Current),3
943,A (Current),3
1773,C (Structured CoT),5
30,A (Current),3
1300,C (Structured CoT),4
1994,C (Structured CoT),3
1915,C (Structured CoT),4
696,A (Current),3
2471,C (Structured CoT),2
2029,C (Structured CoT),2
1601,C (Structured CoT),3
2330,C (Structured CoT),5
1232,C (Structured CoT),5
2174,C (Structured CoT),5
1916,C (Structured CoT),3
1730,C (Structured CoT),3
1707,C (Structured CoT),4
1704,C (Structured CoT),4
756,A (Current),3
1331,C (Structured CoT),4
354,A (Current),2
209,A (Current),3
2145,C (Structured CoT),5
904,A (Current),4
953,A (Current),2
1338,C (Structured CoT),4
1552,C (Structured CoT),4
1568,C (Structured CoT),5
1944,C (Structured CoT),2
486,A (Current),2
1630,C (Structured CoT),4
2040,C (Structured CoT),4
200,A (Current),3
230,A (Current),4
811,A (Current),1
788,A (Current),4
411,A (Current),5
630,A (Current),4
1511,C (Structured CoT),3
663,A (Current),3
2143,C (Structured CoT),3
1919,C (Structured CoT),3
2335,C (Structured CoT),5
1270,C (Structured CoT),5
70,A (Current),3
444,A (Current),4
2148,C (Structured CoT),3
2242,C (Structured CoT),4
1585,C (Structured CoT),5
232,A (Current),3
441,A (Current),5
1628,C (Structured CoT),4
1323,C (Structured CoT),4
1279,C (Structured CoT),5
818,A (Current),3
600,A (Current),2
1057,A (Current),5
415,A (Current),2
680,A (Current),2
1519,C (Structured CoT),5
1117,A (Current),3
280,A (Current),5
1386,C (Structured CoT),5
409,A (Current),2
1092,A (Current),4
2283,C (Structured CoT),2
1217,C (Structured CoT),4
2079,C (Structured CoT),4
499,A (Current),2
1709,C (Structured CoT),4
2027,C (Structured CoT),3
790,A (Current),3
1071,A (Current),3
2266,C (Structured CoT),5
436,A (Current),3
2044,C (Structured CoT),2
1880,C (Structured CoT),5
783,A (Current),4
1477,C (Structured CoT),5
1832,C (Structured CoT),5
1837,C (Structured CoT),4
150,A (Current),2
1195,A (Current),4
2452,C (Structured CoT),4
1242,C (Structured CoT),3
1056,A (Current),3
1770,C (Structured CoT),2
1690,C (Structured CoT),3
2094,C (Structured CoT),5
2193,C (Structured CoT),4
1930,C (Structured CoT),4
164,A (Current),5
439,A (Current),1
1026,A (Current),4
1383,C (Structured CoT),5
1979,C (Structured CoT),4
830,A (Current),3
655,A (Current),1
529,A (Current),3
1134,A (Current),5
50,A (Current),4
68,A (Current),3
2017,C (Structured CoT),4
1371,C (Structured CoT),4
2271,C (Structured CoT),4
49,A (Current),2
1335,C (Structured CoT),5
1682,C (Structured CoT),4
839,A (Current),1
2163,C (Structured CoT),4
125,A (Current),4
611,A (Current),3
1861,C (Structured CoT),3
2333,C (Structured CoT),3
1513,C (Structured CoT),1
742,A (Current),3
26,A (Current),1
2389,C (Structured CoT),4
1753,C (Structured CoT),4
1534,C (Structured CoT),3
1816,C (Structured CoT),3
1617,C (Structured CoT),3
1455,C (Structured CoT),4
566,A (Current),1
846,A (Current),5
2490,C (Structured CoT),4
1457,C (Structured CoT),3
362,A (Current),3
1566,C (Structured CoT),5
2499,C (Structured CoT),5
2415,C (Structured CoT),2
1835,C (Structured CoT),3
1785,C (Structured CoT),4
431,A (Current),2
2310,C (Structured CoT),3
638,A (Current),4
2188,C (Structured CoT),4
652,A (Current),3
241,A (Current),3
694,A (Current),5
71,A (Current),2
2233,C (Structured CoT),5
651,A (Current),3
2019,C (Structured CoT),5
74,A (Current),3
1164,A (Current),5
351,A (Current),3
2290,C (Structured CoT),2
2169,C (Structured CoT),4
1099,A (Current),2
1447,C (Structured CoT),5
2329,C (Structured CoT),2
77,A (Current),1
433,A (Current),1
2350,C (Structured CoT),3
1293,C (Structured CoT),5
158,A (Current),1
1799,C (Structured CoT),4
1406,C (Structured CoT),4
2051,C (Structured CoT),4
136,A (Current),3
2138,C (Structured CoT),3
1929,C (Structured CoT),5
1691,C (Structured CoT),4
868,A (Current),3
1950,C (Structured CoT),2
52,A (Current),2
1901,C (Structured CoT),2
679,A (Current),1
1504,C (Structured CoT),4
290,A (Current),4
2248,C (Structured CoT),5
1421,C (Structured CoT),5
1603,C (Structured CoT),2
533,A (Current),4
480,A (Current),2
1404,C (Structured CoT),5
1933,C (Structured CoT),4
292,A (Current),4
1722,C (Structured CoT),2
1069,A (Current),2
1024,A (Current),4
2180,C (Structured CoT),4
2228,C (Structured CoT),4
706,A (Current),2
2035,C (Structured CoT),4
407,A (Current),2
2100,C (Structured CoT),4
2024,C (Structured CoT),5
2409,C (Structured CoT),4
979,A (Current),3
1746,C (Structured CoT),3
1881,C (Structured CoT),3
343,A (Current),2
1991,C (Structured CoT),5
2477,C (Structured CoT),4
835,A (Current),4
1453,C (Structured CoT),4
300,A (Current),2
1989,C (Structured CoT),2
2294,C (Structured CoT),5
496,A (Current),4
813,A (Current),5
930,A (Current),2
1058,A (Current),4
1638,C (Structured CoT),5
2456,C (Structured CoT),4
221,A (Current),5
2487,C (Structured CoT),3
1660,C (Structured CoT),4
528,A (Current),4
1487,C (Structured CoT),3
2376,C (Structured CoT),2
1610,C (Structured CoT),4
597,A (Current),3
85,A (Current),4
2214,C (Structured CoT),2
2056,C (Structured CoT),4
1962,C (Structured CoT),3
1865,C (Structured CoT),5
2327,C (Structured CoT),5
462,A (Current),2
110,A (Current),2
1963,C (Structured CoT),4
355,A (Current),3
267,A (Current),1
1546,C (Structured CoT),5
531,A (Current),3
2447,C (Structured CoT),5
291,A (Current),2
606,A (Current),3
1561,C (Structured CoT),3
417,A (Current),5
473,A (Current),1
932,A (Current),4
2280,C (Structured CoT),4
2420,C (Structured CoT),3
809,A (Current),1
799,A (Current),3
2492,C (Structured CoT),4
931,A (Current),2
279,A (Current),3
1518,C (Structured CoT),5
884,A (Current),4
1015,A (Current),3
19,A (Current),4
1235,C (Structured CoT),1
2402,C (Structured CoT),4
1973,C (Structured CoT),3
1533,C (Structured CoT),5
1903,C (Structured CoT),5
2134,C (Structured CoT),3
1502,C (Structured CoT),5
1565,C (Structured CoT),4
220,A (Current),3
619,A (Current),5
1248,C (Structured CoT),4
304,A (Current),2
1739,C (Structured CoT),3
2377,C (Structured CoT),3
2009,C (Structured CoT),4
2065,C (Structured CoT),5
1296,C (Structured CoT),3
2202,C (Structured CoT),4
880,A (Current),4
2159,C (Structured CoT),3
1006,A (Current),4
1034,A (Current),3
1506,C (Structured CoT),4
1054,A (Current),3
1870,C (Structured CoT),3
1101,A (Current),2
193,A (Current),3
175,A (Current),1
766,A (Current),5
1379,C (Structured CoT),2
1567,C (Structured CoT),3
1905,C (Structured CoT),5
701,A (Current),3
129,A (Current),3
341,A (Current),2
2128,C (Structured CoT),4
648,A (Current),2
1287,C (Structured CoT),4
308,A (Current),3
384,A (Current),3
1273,C (Structured CoT),5
2315,C (Structured CoT),4
1264,C (Structured CoT),3
178,A (Current),1
427,A (Current),1
787,A (Current),3
1747,C (Structured CoT),4
1100,A (Current),2
2390,C (Structured CoT),2
185,A (Current),2
1592,C (Structured CoT),4
1990,C (Structured CoT),3
2496,C (Structured CoT),5
2286,C (Structured CoT),5
1304,C (Structured CoT),4
962,A (Current),1
1640,C (Structured CoT),4
490,A (Current),5
762,A (Current),5
810,A (Current),2
2278,C (Structured CoT),5
1430,C (Structured CoT),5
1658,C (Structured CoT),4
1526,C (Structured CoT),5
2087,C (Structured CoT),4
119,A (Current),1
1554,C (Structured CoT),4
282,A (Current),4
2186,C (Structured CoT),5
2465,C (Structured CoT),4
1836,C (Structured CoT),3
650,A (Current),3
728,A (Current),3
367,A (Current),3
1352,C (Structured CoT),4
556,A (Current),3
1411,C (Structured CoT),4
2281,C (Structured CoT),4
1914,C (Structured CoT),2
204,A (Current),4
2114,C (Structured CoT),4
121,A (Current),4
284,A (Current),5
576,A (Current),4
1302,C (Structured CoT),5
2414,C (Structured CoT),5
276,A (Current),3
966,A (Current),1
1548,C (Structured CoT),4
361,A (Current),4
1128,A (Current),1
768,A (Current),4
2004,C (Structured CoT),5
1727,C (Structured CoT),5
1889,C (Structured CoT),4
287,A (Current),4
2103,C (Structured CoT),4
1095,A (Current),5
889,A (Current),1
424,A (Current),1
1809,C (Structured CoT),5
2348,C (Structured CoT),4
1588,C (Structured CoT),3
841,A (Current),2
66,A (Current),1
1646,C (Structured CoT),4
1711,C (Structured CoT),2
1458,C (Structured CoT),3
1560,C (Structured CoT),5
231,A (Current),4
1576,C (Structured CoT),5
1570,C (Structured CoT),5
1186,A (Current),5
890,A (Current),5
1400,C (Structured CoT),2
730,A (Current),3
737,A (Current),4
1074,A (Current),3
375,A (Current),3
760,A (Current),5
2251,C (Structured CoT),4
1668,C (Structured CoT),4
298,A (Current),1
599,A (Current),2
1972,C (Structured CoT),4
100,A (Current),1
1055,A (Current),3
1780,C (Structured CoT),5
1238,C (Structured CoT),3
530,A (Current),5
1934,C (Structured CoT),4
1613,C (Structured CoT),4
1209,C (Structured CoT),4
637,A (Current),2
2197,C (Structured CoT),4
186,A (Current),3
1997,C (Structured CoT),5
945,A (Current),1
1805,C (Structured CoT),4
1657,C (Structured CoT),4
1779,C (Structured CoT),5
512,A (Current),3
801,A (Current),3
1135,A (Current),4
1395,C (Structured CoT),4
2406,C (Structured CoT),2
608,A (Current),1
1208,C (Structured CoT),3
152,A (Current),3
1558,C (Structured CoT),5
857,A (Current),3
1136,A (Current),2
875,A (Current),3
2276,C (Structured CoT),3
24,A (Current),3
159,A (Current),2
332,A (Current),3
1111,A (Current),3
2388,C (Structured CoT),5
1718,C (Structured CoT),4
2366,C (Structured CoT),4
2450,C (Structured CoT),4
643,A (Current),2
1438,C (Structured CoT),5
312,A (Current),3
352,A (Current),3
549,A (Current),4
1745,C (Structured CoT),5
1126,A (Current),4
307,A (Current),5
288,A (Current),2
695,A (Current),3
963,A (Current),3
631,A (Current),4
1813,C (Structured CoT),3
950,A (Current),4
1390,C (Structured CoT),5
987,A (Current),3
991,A (Current),2
1591,C (Structured CoT),3
782,A (Current),3
1377,C (Structured CoT),4
837,A (Current),4
1436,C (Structured CoT),4
2418,C (Structured CoT),4
14,A (Current),3
1221,C (Structured CoT),3
1408,C (Structured CoT),4
515,A (Current),1
410,A (Current),4
862,A (Current),3
314,A (Current),3
1871,C (Structured CoT),4
1303,C (Structured CoT),3
1280,C (Structured CoT),5
2500,C (Structured CoT),5
2359,C (Structured CoT),5
383,A (Current),4
1200,A (Current),4
1624,C (Structured CoT),1
1878,C (Structured CoT),5
1510,C (Structured CoT),5
1002,A (Current),3
2241,C (Structured CoT),5
264,A (Current),2
1291,C (Structured CoT),5
2160,C (Structured CoT),4
1784,C (Structured CoT),3
416,A (Current),2
1114,A (Current),3
359,A (Current),2
1174,A (Current),3
9,A (Current),2
2021,C (Structured CoT),4
317,A (Current),3
305,A (Current),4
428,A (Current),4
106,A (Current),1
2045,C (Structured CoT),4
122,A (Current),3
822,A (Current),1
1553,C (Structured CoT),4
2291,C (Structured CoT),5
1399,C (Structured CoT),3
1776,C (Structured CoT),4
2300,C (Structured CoT),3
116,A (Current),5
1514,C (Structured CoT),4
745,A (Current),3
1559,C (Structured CoT),5
2334,C (Structured CoT),4
912,A (Current),2
1489,C (Structured CoT),3
673,A (Current),5
2307,C (Structured CoT),4
2052,C (Structured CoT),4
1641,C (Structured CoT),4
310,A (Current),2
592,A (Current),5
463,A (Current),5
1988,C (Structured CoT),4
942,A (Current),4
1648,C (Structured CoT),1
2367,C (Structured CoT),1
553,A (Current),5
88,A (Current),3
691,A (Current),3
1692,C (Structured CoT),3
2413,C (Structured CoT),4
1616,C (Structured CoT),5
1162,A (Current),4
2421,C (Structured CoT),4
1414,C (Structured CoT),5
2220,C (Structured CoT),3
544,A (Current),4
1761,C (Structured CoT),4
2217,C (Structured CoT),5
495,A (Current),3
366,A (Current),4
2259,C (Structured CoT),3
1551,C (Structured CoT),4
274,A (Current),3
789,A (Current),2
72,A (Current),1
1243,C (Structured CoT),4
1812,C (Structured CoT),5
64,A (Current),4
395,A (Current),3
1205,C (Structured CoT),5
344,A (Current),4
1375,C (Structured CoT),4
1381,C (Structured CoT),5
501,A (Current),2
1673,C (Structured CoT),4
678,A (Current),4
1028,A (Current),4
1887,C (Structured CoT),5
2466,C (Structured CoT),5
273,A (Current),4
2474,C (Structured CoT),4
206,A (Current),5
734,A (Current),4
153,A (Current),3
2371,C (Structured CoT),5
558,A (Current),3
378,A (Current),1
536,A (Current),2
974,A (Current),2
1001,A (Current),2
1873,C (Structured CoT),4
199,A (Current),2
562,A (Current),4
686,A (Current),3
1214,C (Structured CoT),5
591,A (Current),3
520,A (Current),3
309,A (Current),4
605,A (Current),4
2155,C (Structured CoT),4
2260,C (Structured CoT),5
60,A (Current),2
584,A (Current),3
860,A (Current),4
